GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WebAndCloud,counters,TheGlobalCounter,101,0,2,0,26,0,3,0,2,0
WebAndCloud,foo,Consistency.new Runnable() {...},59,0,2,0,13,0,3,0,2,0
WebAndCloud,foo,Consistency.new Runnable() {...},62,0,2,0,11,0,3,0,2,0
WebAndCloud,foo,Consistency.new Runnable() {...},73,0,2,0,15,0,3,0,2,0
WebAndCloud,foo,PrefixServlet,189,0,8,0,33,0,8,0,4,0
WebAndCloud,foo,FriendQuery,372,0,8,0,55,0,6,0,2,0
WebAndCloud,foo,FriendServlet,110,0,4,0,17,0,4,0,2,0
WebAndCloud,foo,PrefixClean,58,0,2,0,11,0,3,0,2,0
WebAndCloud,foo,Counting.new Runnable() {...},72,0,2,0,12,0,3,0,2,0
WebAndCloud,foo,FriendBlockServlet,144,0,6,0,21,0,5,0,2,0
WebAndCloud,foo,HelloAppEngine,0,109,0,2,0,15,0,4,0,3
WebAndCloud,foo,CountingTR.new Runnable() {...},102,0,4,0,21,0,4,0,2,0
WebAndCloud,foo,OneTupleTR,162,0,4,0,27,0,5,0,3,0
WebAndCloud,foo,CountingTR,118,0,4,0,23,0,5,0,3,0
WebAndCloud,foo,PostMessage,3,0,0,0,1,0,1,0,1,0
WebAndCloud,foo,PetitionQuery,145,0,4,0,24,0,4,0,2,0
WebAndCloud,foo,RandomResult,9,0,0,0,3,0,1,0,1,0
WebAndCloud,foo,CountingSh.new Runnable() {...},103,0,4,0,19,0,4,0,2,0
WebAndCloud,foo,MsgIndex,228,0,4,0,35,0,4,0,2,0
WebAndCloud,foo,PrefixQuery,302,0,8,0,48,0,6,0,2,0
WebAndCloud,foo,CountingSh,143,0,8,0,25,0,6,0,2,0
WebAndCloud,foo,ScoreEndpoint,342,0,10,0,74,0,16,0,11,0
WebAndCloud,foo,Consistency,144,0,6,0,36,0,6,0,3,0
WebAndCloud,foo,UsersServlet,50,0,2,0,17,0,3,0,2,0
WebAndCloud,foo,OneTupleTR.new Runnable() {...},130,0,2,0,25,0,3,0,2,0
WebAndCloud,foo,TestTransaction,75,0,4,0,14,0,4,0,2,0
WebAndCloud,foo,PetitionServlet,222,0,10,0,35,0,7,0,2,0
WebAndCloud,foo,Counting,115,0,4,0,22,0,4,0,2,0
WebAndCloud,petition,PetitionEndpoint,61,0,0,0,15,0,3,0,3,0
WebAndCloud,petition,Petition,3,0,0,0,1,0,1,0,1,0
